review_id,text,rating,timestamp,product_id,product_name,category,variant,image_paths,source
demo_001,"Pembelian pertama, ukuran 44 kebesaran, pembelian kedua ukuran 43 kekecilan, mgkn memang saya belum beruntung, sukses buat lapaknya gan",5,2026-08-01T00:00:00,351162878,"WAKAI SM01618 TEIKYU Navy Men &#40;WAK0002406.C4913&#41; - Navy, 41",fashion,,,sample_dataset
demo_002,Ternyata ukuran jam tangannya kecil sekali. Kurang cocok kalau dipakai laki-laki.,4,2026-07-25T00:00:00,179142386,Casio Jam Tangan Unisex &#40;MQ-71-4BDF&#41;,fashion,,,sample_dataset
demo_003,Secara style nilai 4. Tp dgn harga segini gw bisa dpt di payless dgn quality yg jauh lebih baik meskipun style kalah. Untuk standar size jg kekecilan. Sepatu kiri tdk sama dgn yg kanan jahitan karet  lebih kecil yg kiri shg bikin kurang nyaman dipake. So quality gw rate 2. Overall nilai 3.,3,2026-07-18T00:00:00,485233002,🔥WAADOO🔥 Sneaker Pria &#34;Fly Power&#34; Sepatu Running Olahraga,fashion,,,sample_dataset
demo_004,"Mantep, upper nya premium cm agak kekecilan sedikit harusnya pilih yg size 40. Tp gpp lah mantaaap",5,2026-07-11T00:00:00,421063724,BRODO - Signore E+ Vintage Brown BS,fashion,,,sample_dataset
demo_005,"Agak panas trus nomornya kekecilan sakit kaki tp gk apalah , ada harga ada kualitas meskipun ada bau lem kualitas",3,2026-07-04T00:00:00,469877650,Sepatu Casual Kets Sport Nike MD Runner / Waffle Trainer Hitam Putih,fashion,,,sample_dataset
demo_006,Sepatunya ringan cuma agak kebesaran.,4,2026-07-27T00:00:00,341124694,"Sepatu Anak B.First BF Li 3816054 - 29, Hitam",fashion,,,sample_dataset
demo_007,"thank you sepatunya udah sampe tp agak kekecilan>< padahal udah 2x beli tp tiap sepatu sizenya beda2 sepertinya, sebelumnya dengan size yg sama sepatunya agak kegedean skrg agak kekecilan...",4,2026-07-20T00:00:00,333237168,"AliveLoveArts Dryad Cream Heels Fashion Sepatu Wanita Termurah - Ivory, 36",fashion,,,sample_dataset
demo_008,"Barangnya seperti di foto, good..., pengirimannya lumayan cepat. Tapi sayang..., kekecilan keknya dipake istri. Salah ambil ukuran.",4,2026-07-13T00:00:00,309740593,"Ramayana - Korset Celana Busa Wanita &#40;07972660&#41; - Hitam, L",fashion,,,sample_dataset
demo_009,Kecil banget seperti nya salah size,3,2026-07-06T00:00:00,283688900,"BUBBLE GUMMERS Sepatu Anak Pria BRAZI 1719071 - 26, Biru",fashion,,,sample_dataset
demo_010,Untuk ukuran 36 sempit. Muat y muat tp maksa. Trims,3,2026-07-29T00:00:00,204193015,Celana Jogger Panjang Casual Pria - CLN 803,fashion,,,sample_dataset
demo_011,"Jam tangan anak2 di jual.ukuran terlalu kecil.kecewa belanja disini.....jangan belanja disini,diskon tapi ga jelas ukurannya.",1,2026-07-22T00:00:00,326585969,Jam Tangan Casio LQ-142E-2A,fashion,,,sample_dataset
demo_012,"ukuran yg dikirim tidak sesuai, malah ukuran yg diminta seperti ditulis ulang",1,2026-07-15T00:00:00,319781056,Sepatu Sekolah Nike Roshe Run Full Hitam Anak Pria Wanita Cewe Cowo,fashion,,,sample_dataset
demo_013,"Saya pesan nomer 40, yang dtg nomer 39. Jd kekecilan. Mentang2 beli di flash sale, dikasihnya gak sesuai. Kecewa. Bgt",1,2026-07-08T00:00:00,361809014,"Bata Sandal Pria Energ Brown - 8733076 - Cokelat Muda, 39",fashion,,,sample_dataset
demo_014,"baru pertama beli di alive, alhamdulillah size-nya pas. sepatunya juga enakeun. kayaknya ga bakalan bikin pegel kalo dipake lama-lama",5,2026-07-31T00:00:00,336775704,AliveLoveArts BalletWood Nude Heels Fashion Sepatu Wanita Termurah - Cokelat Mud,fashion,,,sample_dataset
demo_015,dikirim no 7.... seandainya no 42 pasti pas di kaki walaupun pakai kaos kaki... ini tanpa kaos kaki sudah sempit sekali,4,2026-07-24T00:00:00,282916883,"Sepatu Pria Kasual Mocassino NARCI - 8344031 - Cokelat Tua, 41",fashion,,,sample_dataset
demo_016,"thankyouu tp msh kebesaran utk usia 4bln, lumayan buat invest ya",5,2026-07-17T00:00:00,267905535,Sepatu Bayi Prewalker - Victoria Gold+Shoe Clip Mariana Gold - 3-6 Bulan,fashion,,,sample_dataset
demo_017,minta dibatalin udah ajuin pembatalan malah dikirim. udah dikonfirmasi ukuran dan model salah. !,2,2026-07-10T00:00:00,469877650,Sepatu Casual Kets Sport Nike MD Runner / Waffle Trainer Hitam Putih,fashion,,,sample_dataset
